,Datum,Anfang,Ende,Gesamt (Netzlast) [MWh] Originalauflösungen,Residuallast [MWh] Originalauflösungen,Pumpspeicher [MWh] Originalauflösungen
0,2023-01-01,00:00,00:15,9720.75,1890.75,424.75
1,2023-01-01,00:15,00:30,9641.25,1739.5,443.5
2,2023-01-01,00:30,00:45,9609.5,1490.25,546.25
3,2023-01-01,00:45,01:00,9565.0,1646.25,519.0
4,2023-01-01,01:00,01:15,9473.5,1366.0,222.5
5,2023-01-01,01:15,01:30,9448.0,1216.75,383.25
6,2023-01-01,01:30,01:45,9550.25,1346.75,653.25
7,2023-01-01,01:45,02:00,9463.75,1115.0,766.5
8,2023-01-01,02:00,02:15,9358.5,1119.75,764.75
9,2023-01-01,02:15,02:30,9306.0,917.25,863.5
10,2023-01-01,02:30,02:45,9250.75,1051.5,943.5
11,2023-01-01,02:45,03:00,9188.0,906.5,1065.0
12,2023-01-01,03:00,03:15,9140.5,1308.25,1078.25
13,2023-01-01,03:15,03:30,9012.25,1358.5,1113.0
14,2023-01-01,03:30,03:45,8989.25,1455.5,1106.25
15,2023-01-01,03:45,04:00,8997.5,1545.5,1088.0
16,2023-01-01,04:00,04:15,8962.75,1402.75,1084.5
17,2023-01-01,04:15,04:30,8911.25,1414.5,1097.5
18,2023-01-01,04:30,04:45,8906.0,1473.0,1128.25
19,2023-01-01,04:45,05:00,8931.5,1520.25,1101.25
20,2023-01-01,05:00,05:15,8970.0,1292.0,1240.25
21,2023-01-01,05:15,05:30,8969.0,1425.75,1194.75
22,2023-01-01,05:30,05:45,8979.0,1525.75,1129.5
23,2023-01-01,05:45,06:00,8936.25,1475.75,1145.5
24,2023-01-01,06:00,06:15,8841.25,1301.5,1329.0
25,2023-01-01,06:15,06:30,8887.75,1415.75,1347.5
26,2023-01-01,06:30,06:45,8828.75,1368.0,1321.0
27,2023-01-01,06:45,07:00,8840.0,1421.25,1289.25
28,2023-01-01,07:00,07:15,9002.0,1295.75,1122.75
29,2023-01-01,07:15,07:30,9054.25,1410.0,1045.0
30,2023-01-01,07:30,07:45,9112.0,1446.25,982.25
31,2023-01-01,07:45,08:00,9168.25,1582.25,930.5
32,2023-01-01,08:00,08:15,9100.5,1616.75,895.25
33,2023-01-01,08:15,08:30,9171.5,1682.75,929.5
34,2023-01-01,08:30,08:45,9303.25,1802.25,799.75
35,2023-01-01,08:45,09:00,9410.5,1806.75,761.75
36,2023-01-01,09:00,09:15,9560.75,1772.5,554.25
37,2023-01-01,09:15,09:30,9786.5,1798.5,569.75
38,2023-01-01,09:30,09:45,9954.75,1850.25,538.25
39,2023-01-01,09:45,10:00,10087.75,1826.75,657.25
40,2023-01-01,10:00,10:15,10021.25,1533.5,468.75
41,2023-01-01,10:15,10:30,10188.25,1629.75,489.75
42,2023-01-01,10:30,10:45,10399.25,1799.75,472.0
43,2023-01-01,10:45,11:00,10562.0,1932.25,434.75
44,2023-01-01,11:00,11:15,10692.0,1988.25,408.5
45,2023-01-01,11:15,11:30,10946.5,2123.5,311.5
46,2023-01-01,11:30,11:45,11093.5,2120.0,296.5
47,2023-01-01,11:45,12:00,11117.0,2106.75,287.25
48,2023-01-01,12:00,12:15,11120.5,2293.0,311.5
49,2023-01-01,12:15,12:30,11145.0,2502.5,279.5
50,2023-01-01,12:30,12:45,11080.75,2577.0,250.0
51,2023-01-01,12:45,13:00,10985.5,2526.25,322.75
52,2023-01-01,13:00,13:15,11018.5,2557.5,489.0
53,2023-01-01,13:15,13:30,10962.75,2684.25,462.5
54,2023-01-01,13:30,13:45,10916.25,2936.5,323.75
55,2023-01-01,13:45,14:00,10849.75,3078.0,319.25
56,2023-01-01,14:00,14:15,10844.0,2518.5,652.0
57,2023-01-01,14:15,14:30,10828.25,2576.25,566.5
58,2023-01-01,14:30,14:45,10884.5,2998.0,398.0
59,2023-01-01,14:45,15:00,10840.25,3068.75,193.25
60,2023-01-01,15:00,15:15,10952.25,3049.25,438.75
61,2023-01-01,15:15,15:30,10892.75,3024.25,371.75
62,2023-01-01,15:30,15:45,10950.75,3297.75,101.75
63,2023-01-01,15:45,16:00,10972.5,3579.0,35.75
64,2023-01-01,16:00,16:15,11156.0,4010.25,51.75
65,2023-01-01,16:15,16:30,11306.5,4350.0,104.0
66,2023-01-01,16:30,16:45,11486.5,4649.75,81.25
67,2023-01-01,16:45,17:00,11726.5,5009.0,39.75
68,2023-01-01,17:00,17:15,12041.25,5426.0,37.25
69,2023-01-01,17:15,17:30,12143.25,5555.75,36.75
70,2023-01-01,17:30,17:45,12245.75,5670.0,36.75
71,2023-01-01,17:45,18:00,12270.25,5683.75,35.0
72,2023-01-01,18:00,18:15,12273.5,5765.0,82.0
73,2023-01-01,18:15,18:30,12226.5,5790.75,89.0
74,2023-01-01,18:30,18:45,12148.0,5735.0,93.75
75,2023-01-01,18:45,19:00,12039.25,5677.0,78.5
76,2023-01-01,19:00,19:15,12023.0,5716.0,93.0
77,2023-01-01,19:15,19:30,11925.25,5597.75,131.5
78,2023-01-01,19:30,19:45,11812.0,5514.75,91.5
79,2023-01-01,19:45,20:00,11631.0,5392.25,97.5
80,2023-01-01,20:00,20:15,11500.75,5245.5,40.75
81,2023-01-01,20:15,20:30,11319.75,5054.0,56.5
82,2023-01-01,20:30,20:45,11122.25,4847.75,139.0
83,2023-01-01,20:45,21:00,10934.75,4577.25,295.0
84,2023-01-01,21:00,21:15,10929.5,4402.5,60.75
85,2023-01-01,21:15,21:30,10832.75,4398.25,73.5
86,2023-01-01,21:30,21:45,10759.0,4430.25,137.25
87,2023-01-01,21:45,22:00,10714.5,4478.25,203.25
88,2023-01-01,22:00,22:15,10814.75,4732.5,70.25
