,Datum,Anfang,Ende,Biomasse [MWh] Originalauflösungen,Wasserkraft [MWh] Originalauflösungen,Wind Offshore [MWh] Originalauflösungen,Wind Onshore [MWh] Originalauflösungen,Photovoltaik [MWh] Originalauflösungen,Sonstige Erneuerbare [MWh] Originalauflösungen,Kernenergie [MWh] Originalauflösungen,Braunkohle [MWh] Originalauflösungen,Steinkohle [MWh] Originalauflösungen,Erdgas [MWh] Originalauflösungen,Pumpspeicher [MWh] Originalauflösungen,Sonstige Konventionelle [MWh] Originalauflösungen,hour
0,2023-01-01,00:00,00:15,1094.25,320.0,684.25,7145.75,0.0,32.25,615.25,962.75,517.0,429.75,13.5,307.25,0
1,2023-01-01,00:15,00:30,1091.25,317.5,743.5,7158.25,0.0,32.25,614.75,963.25,518.0,429.5,9.75,307.25,0
2,2023-01-01,00:30,00:45,1090.25,317.25,817.0,7302.25,0.0,32.5,615.0,966.5,517.0,432.0,9.75,308.25,0
3,2023-01-01,00:45,01:00,1089.25,321.5,814.5,7104.25,0.0,32.5,614.5,966.75,515.5,430.5,9.75,306.0,0
4,2023-01-01,01:00,01:15,1085.25,315.25,785.5,7322.0,0.0,32.25,614.5,969.0,513.25,391.25,26.5,306.75,1
5,2023-01-01,01:15,01:30,1087.75,304.75,898.5,7332.75,0.0,32.25,614.75,965.75,514.0,389.5,45.0,305.0,1
6,2023-01-01,01:30,01:45,1086.5,303.5,943.75,7259.75,0.0,32.25,614.75,967.5,513.75,393.75,50.5,302.0,1
7,2023-01-01,01:45,02:00,1085.25,304.25,958.25,7390.5,0.0,32.25,614.75,964.25,511.0,393.5,50.5,304.5,1
8,2023-01-01,02:00,02:15,1080.25,308.25,1009.75,7229.0,0.0,32.25,615.0,963.0,509.75,391.5,41.25,303.0,2
9,2023-01-01,02:15,02:30,1084.25,305.5,967.0,7421.75,0.0,32.25,614.75,967.0,509.0,394.5,40.75,303.75,2
10,2023-01-01,02:30,02:45,1084.75,305.75,936.25,7263.0,0.0,32.25,615.25,967.75,508.0,394.5,40.75,302.25,2
11,2023-01-01,02:45,03:00,1083.75,304.0,929.25,7352.25,0.0,32.25,614.75,962.5,507.5,391.0,40.75,302.5,2
12,2023-01-01,03:00,03:15,1083.5,309.25,907.0,6925.25,0.0,32.25,615.0,969.75,509.0,386.25,40.25,302.25,3
13,2023-01-01,03:15,03:30,1084.0,304.5,886.25,6767.5,0.0,32.25,615.0,964.5,509.75,395.25,40.25,302.75,3
14,2023-01-01,03:30,03:45,1084.75,304.25,876.5,6657.25,0.0,32.25,615.25,964.5,509.5,391.25,40.25,302.5,3
